"Name","OVR","PAC","SHO","PAS","DRI","DEF","PHY","Acceleration","Sprint.Speed","Positioning","Finishing","Shot.Power","Long.Shots","Volleys","Penalties","Vision","Crossing","Free.Kick.Accuracy","Short.Passing","Long.Passing","Curve","Dribbling","Agility","Balance","Reactions","Ball.Control","Composure","Interceptions","Heading.Accuracy","Def.Awareness","Standing.Tackle","Sliding.Tackle","Jumping","Stamina","Strength","Aggression","Position","Weak.foot","Skill.moves","Preferred.foot","Height","Weight","Alternative.positions","Age","Nation","League","Team","url","GK.Diving","GK.Handling","GK.Kicking","GK.Positioning","GK.Reflexes","gender"
"Kylian Mbappé",91,97,90,80,92,36,78,97,97,93,94,90,83,84,84,83,78,69,86,71,80,93,93,82,93,92,88,38,73,26,34,32,88,88,77,64,"ST",4,5,"Right",182,75,"LW",25,"France","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kylian-mbappe/231747",NA,NA,NA,NA,NA,"M"
"Rodri",91,66,80,86,84,87,85,65,66,76,74,92,89,71,62,84,76,64,93,91,86,84,66,67,93,90,94,84,81,92,87,82,83,91,83,85,"CDM",4,3,"Right",191,82,"CM",28,"Spain","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/rodri/231866",NA,NA,NA,NA,NA,"M"
"Erling Haaland",91,88,92,70,81,45,88,80,94,96,96,94,83,90,90,74,58,62,77,66,77,79,77,69,94,83,87,43,83,38,47,29,92,76,93,88,"ST",3,3,"Left",195,94,"",24,"Norway","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/erling-haaland/239085",NA,NA,NA,NA,NA,"M"
"Jude Bellingham",90,80,87,83,88,78,83,81,80,91,90,85,86,77,74,90,66,68,89,89,73,89,82,79,91,89,87,82,75,77,79,77,84,93,77,85,"CAM",4,4,"Right",186,75,"CM",21,"England","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/jude-bellingham/252371",NA,NA,NA,NA,NA,"M"
"Vini Jr.",90,95,84,81,91,29,69,95,95,87,89,81,83,73,71,85,81,62,83,77,79,93,94,84,86,90,83,26,50,32,25,18,74,84,65,58,"LW",4,5,"Right",176,73,"ST, LM",24,"Brazil","LALIGA EA SPORTS","Real Madrid","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/vini-jr/238794",NA,NA,NA,NA,NA,"M"
"Kevin De Bruyne",90,67,87,94,87,65,78,67,67,88,84,92,90,83,83,95,95,83,94,93,93,86,75,78,92,92,88,66,55,66,70,53,71,88,75,75,"CM",5,4,"Right",181,75,"CAM",33,"Belgium","Premier League","Manchester City","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/kevin-de-bruyne/192985",NA,NA,NA,NA,NA,"M"
"Harry Kane",90,65,93,84,83,49,82,64,66,94,95,94,89,89,93,86,80,69,86,88,82,82,66,73,94,87,92,42,91,46,46,38,87,75,86,80,"ST",4,3,"Right",188,86,"",31,"England","Bundesliga","FC Bayern München","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/harry-kane/202126",NA,NA,NA,NA,NA,"M"
"Martin Ødegaard",89,70,82,89,89,67,66,72,69,84,83,82,84,79,68,91,86,85,91,89,84,89,85,83,91,91,87,69,55,68,72,57,66,88,56,64,"CM",2,5,"Left",178,68,"CAM",25,"Norway","Premier League","Arsenal","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/martin-degaard/222665",NA,NA,NA,NA,NA,"M"
"Gianluigi Donnarumma",89,90,84,73,90,52,87,50,55,14,12,55,18,NA,24,60,12,14,36,34,12,28,57,38,84,30,65,26,12,21,14,16,73,41,75,30,"GK",3,1,"Right",196,90,"",25,"Italy","Ligue 1 McDonald's","Paris SG","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/gianluigi-donnarumma/230621",90,84,73,87,90,"M"
"Alisson",89,86,85,85,89,56,90,60,49,13,13,64,14,20,23,66,17,18,60,58,19,27,40,37,87,42,66,11,29,15,19,16,82,32,78,27,"GK",3,1,"Right",193,91,"",31,"Brazil","Premier League","Liverpool","https://www.ea.com/games/ea-sports-fc/ratings/player-ratings/alisson/212831",86,85,85,90,89,"M"
